,step,Validation/Accuracy_agri,Validation/Accuracy_barrenland,Validation/Accuracy_grassland,Validation/Accuracy_urban,epoch,lr-Adam,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy,val_loss
29,279,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.96875, 0.875, 1.0, 0.96875, 0.9375, 1.0, 0.9375]",,"[0.056157417595386505, 0.3791847229003906, 0.004113517701625824, 0.07888475805521011, 0.15077930688858032, 0.0111769400537014, 0.27053606510162354]",,
30,289,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.84375, 1.0]",,"[0.006864096969366074, 0.03377273678779602, 0.01422812044620514, 0.008121199905872345, 0.05443140119314194, 0.3585519790649414, 0.03462737798690796]",,
31,299,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 0.96875, 0.9375, 1.0, 1.0, 1.0, 1.0]",,"[0.14319562911987305, 0.0918373391032219, 0.2510055899620056, 0.036487236618995667, 0.011254087090492249, 0.014252163469791412, 0.012847978621721268]",,
32,309,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 0.96875, 0.96875, 0.90625, 1.0, 1.0, 0.90625]",,"[0.022537115961313248, 0.11206832528114319, 0.0814322680234909, 0.19536763429641724, 0.0018154233694076538, 0.021120887249708176, 0.2804069519042969]",,
33,319,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.96875, 1.0, 0.9375, 1.0, 1.0, 1.0, 1.0]",,"[0.10164827108383179, 0.05803902447223663, 0.21871471405029297, 0.01278584823012352, 0.007959514856338501, 0.026592999696731567, 0.021168358623981476]",,
34,329,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 0.96875, 1.0, 0.90625, 1.0, 0.9375, 0.96875]",,"[0.01882016658782959, 0.10738775134086609, 0.011397965252399445, 0.3362569808959961, 0.04584150016307831, 0.09448385238647461, 0.0645950585603714]",,
35,339,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 0.96875, 0.96875]",,"[0.03709594905376434, 0.18561553955078125, 0.022840607911348343, 0.01696188747882843, 0.0053832195699214935, 0.08404295891523361, 0.10323918610811234]",,
36,349,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.96875, 0.96875, 1.0, 0.90625, 1.0, 1.0, 1.0]",,"[0.07894496619701385, 0.13982820510864258, 0.012766566127538681, 0.2487444281578064, 0.0032536424696445465, 0.00900965929031372, 0.008567377924919128]",,
37,359,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 1.0, 0.9375, 0.96875, 0.90625, 1.0, 0.96875]",,"[0.005553755909204483, 0.031217828392982483, 0.1015063226222992, 0.23664233088493347, 0.2974374294281006, 0.02701714262366295, 0.14036314189434052]",,
38,369,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.9375, 1.0, 0.9375, 1.0, 0.96875, 0.96875, 0.96875]",,"[0.10740387439727783, 0.001540057361125946, 0.279759019613266, 0.012142658233642578, 0.1615433692932129, 0.07430300116539001, 0.05056760460138321]",,
