,step,Validation/Accuracy_agri,Validation/Accuracy_barrenland,Validation/Accuracy_grassland,Validation/Accuracy_urban,epoch,lr-Adam,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy,val_loss
317,3019,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.15239298343658447, 4.161521792411804e-05, 0.0024075284600257874, 5.817785859107971e-05, 0.000273633748292923, 0.0008480250835418701, 0.0001092664897441864]",,
318,3029,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.014515392482280731, 4.548206925392151e-05, 0.00046282634139060974, 0.0006307326257228851, 0.00047300755977630615, 3.9305537939071655e-05, 0.008013337850570679]",,
319,3039,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00039057061076164246, 2.9996037483215332e-05, 0.0011585727334022522, 0.005352236330509186, 0.00018529966473579407, 0.0011993534862995148, 0.0015452839434146881]",,
320,3049,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.03214751183986664, 0.001750316470861435, 0.026086442172527313, 4.169344902038574e-05, 3.299489617347717e-05, 1.4696270227432251e-05, 0.0031241439282894135]",,
321,3059,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.02491725981235504, 0.016209930181503296, 2.9694288969039917e-05, 0.000888776034116745, 0.00023094937205314636, 2.3983418941497803e-05, 0.0009372904896736145]",,
322,3069,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.000837571918964386, 0.0188177227973938, 7.978081703186035e-05, 3.229454159736633e-05, 3.5021454095840454e-05, 8.73170793056488e-05, 0.03378952667117119]",,
323,3079,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.9375, 1.0, 1.0]",,"[0.0005656369030475616, 0.0001607462763786316, 0.0008276030421257019, 0.015465263277292252, 0.06610526144504547, 0.009266339242458344, 4.7769397497177124e-05]",,
324,3089,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.023069161921739578, 4.407018423080444e-05, 0.008612055331468582, 0.006821818649768829, 0.0033589117228984833, 0.0012026205658912659, 0.002003602683544159]",,
325,3099,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0026144757866859436, 0.07581380754709244, 3.6425888538360596e-05, 0.0002645440399646759, 0.001582946628332138, 0.003337182104587555, 0.00654248520731926]",,
326,3109,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[0.0006685927510261536, 0.0008954033255577087, 0.0013228580355644226, 0.018386129289865494, 3.5122036933898926e-05, 3.3624470233917236e-05, 0.09624931216239929]",,
327,3119,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.06296831369400024, 0.0002109818160533905, 0.0003263801336288452, 0.00010845810174942017, 0.00019742920994758606, 2.7354806661605835e-05, 0.023737724870443344]",,
328,3129,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00012034177780151367, 0.053133055567741394, 0.01982821151614189, 3.546476364135742e-05, 0.0017542466521263123, 1.4185905456542969e-05, 0.0008725523948669434]",,
329,3139,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0014634691178798676, 0.0006937496364116669, 2.7935951948165894e-05, 0.006793670356273651, 0.0012912005186080933, 0.0005351491272449493, 0.004490453749895096]",,
330,3149,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.0007934272289276123, 0.00018316134810447693, 0.000897873193025589, 0.00016315653920173645, 3.099068999290466e-05, 0.026623152196407318, 0.009054366499185562]",,
331,3159,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[0.0003037974238395691, 0.0014355555176734924, 0.00010146945714950562, 3.913789987564087e-05, 0.00038113445043563843, 0.004287760704755783, 0.03382405266165733]",,
332,3169,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[0.90625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.1560409665107727, 0.015380475670099258, 0.008847318589687347, 3.1560659408569336e-05, 0.00047767162322998047, 0.02344612404704094, 4.5321881771087646e-05]",,
333,3179,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.02336534857749939, 0.00015939399600028992, 0.006046321243047714, 0.0013364031910896301, 0.0013484880328178406, 3.4205615520477295e-05, 6.784871220588684e-05]",,
334,3189,,,,,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,,"[0.96875, 1.0, 1.0, 1.0, 0.96875, 1.0, 1.0]",,"[0.0763918086886406, 0.0005297139286994934, 0.025493837893009186, 0.0019529275596141815, 0.04363614320755005, 0.00017164647579193115, 2.849102020263672e-05]",,
335,3199,"[0.9914529919624329, 0.9902557730674744, 0.9492574334144592, 0.9986894130706787, 0.9897698163986206, 1.0, 0.9826732873916626]","[1.0, 0.9975639581680298, 0.998734176158905, 0.9963189959526062, 0.9963054060935974, 1.0, 0.9987146258354187]","[0.9923076629638672, 0.9986594915390015, 0.9890109896659851, 0.9975278377532959, 0.9914529919624329, 0.9938347935676575, 0.9963414669036865]","[0.995055615901947, 1.0, 0.9808428883552551, 0.9950799345970154, 0.9123252630233765, 0.9987515807151794, 0.99370276927948]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]",,"[0.998046875, 1.0, 0.9965624809265137, 0.9961718916893005, 0.9861719012260437, 0.9987499713897705, 0.9994531273841858]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.005693159066140652, 4.002881178166717e-05, 0.01150862779468298, 0.012569955550134182, 0.040237218141555786, 0.00482134660705924, 0.0020231676753610373]","[0.0006852559745311737, 3.330036997795105e-05, 1.7609447240829468e-05, 0.001368202269077301, 0.006255477666854858, 0.0008640997111797333, 0.0002675391733646393]","[0.9946874976158142, 0.9965624809265137, 0.9793750047683716, 0.996874988079071, 0.9728124737739563, 0.9981250166893005, 0.9928125143051147]","[0.01701352745294571, 0.014712062664330006, 0.08698354661464691, 0.013144847936928272, 0.09045974910259247, 0.012478291988372803, 0.02146962657570839]"
336,3200,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
337,3209,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.021847963333129883, 0.00020548328757286072, 0.00302828848361969, 2.855062484741211e-05, 0.0039369575679302216, 0.0004198811948299408, 3.852322697639465e-05]",,
338,3219,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[2.6963651180267334e-05, 0.01537037268280983, 0.0004995092749595642, 0.008400402963161469, 0.0017143338918685913, 0.0008795447647571564, 0.000168677419424057]",,
339,3229,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.03868944197893143, 3.395602107048035e-05, 0.006837483495473862, 0.003912877291440964, 0.0004998892545700073, 0.0008089803159236908, 0.0010420270264148712]",,
340,3239,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0013951025903224945, 3.281235694885254e-05, 0.0017152801156044006, 0.009408317506313324, 0.0006367750465869904, 0.0006396621465682983, 0.00817154347896576]",,
341,3249,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[3.0327588319778442e-05, 0.0001436956226825714, 0.0009270645678043365, 0.001879766583442688, 0.00011874362826347351, 0.000448424369096756, 0.0031965412199497223]",,
342,3259,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0]",,"[8.197128772735596e-05, 0.00045542046427726746, 0.025490902364253998, 2.4810433387756348e-05, 0.00818302109837532, 0.015489853918552399, 0.0019849054515361786]",,
343,3269,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0001559928059577942, 0.02493048459291458, 0.0004481188952922821, 0.0001240260899066925, 0.008423913270235062, 2.6423484086990356e-05, 0.002237517386674881]",,
344,3279,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[4.918500781059265e-05, 0.0017361082136631012, 0.00034820660948753357, 0.0011093653738498688, 2.941116690635681e-05, 0.007158949971199036, 0.011186935007572174]",,
345,3289,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[0.001724783331155777, 0.0005727969110012054, 6.321817636489868e-05, 0.0007888041436672211, 3.460794687271118e-05, 5.052611231803894e-05, 0.09549950808286667]",,
346,3299,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.1544044017791748, 2.9284507036209106e-05, 0.006688207387924194, 0.0055208392441272736, 1.247599720954895e-05, 0.1123952865600586, 0.0018348433077335358]",,
347,3309,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.01769733801484108, 0.0018924959003925323, 0.00018355995416641235, 3.854185342788696e-05, 9.079650044441223e-05, 4.4994056224823e-05, 0.014204099774360657]",,
348,3319,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[6.772950291633606e-05, 0.00035137683153152466, 0.0003551281988620758, 0.000933673232793808, 3.123655915260315e-05, 0.000692073255777359, 0.005089450627565384]",,
349,3329,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[0.06424582004547119, 0.00028757378458976746, 0.0002322942018508911, 6.317347288131714e-05, 0.013102240860462189, 3.959238529205322e-05, 0.12532161176204681]",,
350,3339,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.016716912388801575, 0.003637552261352539, 0.00016453862190246582, 3.951042890548706e-05, 0.014307428151369095, 0.000203646719455719, 0.0014748945832252502]",,
351,3349,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.2186124622821808, 5.483999848365784e-05, 0.02071307972073555, 0.01139736920595169, 0.0017182417213916779, 3.369525074958801e-05, 0.0019186325371265411]",,
352,3359,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.02336816117167473, 0.0002702847123146057, 0.00014533847570419312, 3.832578659057617e-05, 0.0020219869911670685, 0.06609565019607544, 0.0006407462060451508]",,
353,3369,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.15727302432060242, 0.0006885118782520294, 4.539266228675842e-05, 9.406730532646179e-05, 5.924701690673828e-05, 0.007396191358566284, 6.4898282289505e-05]",,
354,3379,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00025750696659088135, 0.00034297630190849304, 0.000525403767824173, 3.5610049962997437e-05, 0.006365858018398285, 0.013778932392597198, 0.0012038648128509521]",,
355,3389,,,,,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.96875, 1.0, 1.0]",,"[0.0008102767169475555, 5.386769771575928e-06, 0.0011279508471488953, 0.0001274608075618744, 0.07658073306083679, 0.0003174208104610443, 4.748255014419556e-05]",,
356,3399,"[0.9902557730674744, 0.9925742745399475, 0.9986894130706787, 0.9841269850730896, 0.9386188983917236, 0.9740098714828491, 0.9986894130706787]","[0.9975639581680298, 0.9987146258354187, 1.0, 1.0, 0.9926108121871948, 0.9974683523178101, 0.9987878799438477]","[0.9986594915390015, 0.995121955871582, 0.9962916970252991, 0.9923076629638672, 0.9975579977035522, 0.990231990814209, 0.9913686513900757]","[1.0, 0.992443323135376, 0.9950799345970154, 0.998763918876648, 0.9720457196235657, 0.9948914647102356, 1.0]","[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",,"[1.0, 0.9994531273841858, 0.997265636920929, 0.9978125095367432, 0.9857031106948853, 0.9971093535423279, 0.9982812404632568]","[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]","[3.5513396142050624e-05, 0.0018877075053751469, 0.009655012749135494, 0.008125676773488522, 0.041640542447566986, 0.00862524937838316, 0.005196204874664545]","[2.6181340217590332e-05, 0.0070379264652729034, 0.0005310475826263428, 0.06384932994842529, 0.02545034885406494, 9.240582585334778e-05, 0.00012108683586120605]","[0.9965624809265137, 0.9946874976158142, 0.9975000023841858, 0.9937499761581421, 0.9756249785423279, 0.989062488079071, 0.9971874952316284]","[0.014838100410997868, 0.018518982455134392, 0.011088702827692032, 0.01700444519519806, 0.06481029838323593, 0.052467409521341324, 0.016865098848938942]"
357,3400,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
358,3409,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0]",,"[2.555176615715027e-05, 0.006443008780479431, 0.04592408612370491, 0.0002422034740447998, 9.215250611305237e-05, 0.01076926663517952, 0.00038922205567359924]",,
359,3419,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00013967230916023254, 0.00025955960154533386, 0.019500520080327988, 2.9295682907104492e-05, 0.0014939643442630768, 0.00027907267212867737, 0.005152054131031036]",,
360,3429,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0]",,"[1.7333775758743286e-05, 4.5962631702423096e-05, 0.08890147507190704, 0.0003590695559978485, 9.213387966156006e-05, 0.0002872981131076813, 0.004085201770067215]",,
361,3439,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.003404967486858368, 0.00034434348344802856, 0.0006193183362483978, 2.9735267162322998e-05, 0.006937671452760696, 2.808868885040283e-06, 0.00037436559796333313]",,
362,3449,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[4.5359134674072266e-05, 0.00032255426049232483, 0.00367581844329834, 0.0015300624072551727, 0.00018005818128585815, 0.0009416714310646057, 0.00014386698603630066]",,
363,3459,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[2.5432556867599487e-05, 0.00015876814723014832, 0.00030646100640296936, 9.441375732421875e-05, 0.010085783898830414, 0.0001650601625442505, 0.0026072226464748383]",,
364,3469,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00010431930422782898, 9.605288505554199e-05, 0.0014265291392803192, 0.017677970230579376, 3.2335519790649414e-05, 0.00030679255723953247, 0.027442630380392075]",,
365,3479,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0016219690442085266, 5.97052276134491e-05, 2.8166919946670532e-05, 0.007215924561023712, 0.0004952810704708099, 0.0002005361020565033, 0.018141672015190125]",,
366,3489,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 0.90625]",,"[2.8703361749649048e-05, 0.036185406148433685, 4.858523607254028e-05, 0.002981923520565033, 0.0020231232047080994, 0.00034124404191970825, 0.11986149847507477]",,
367,3499,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.0001713186502456665, 0.0038823336362838745, 0.0006671436131000519, 0.1753414124250412, 3.600120544433594e-05, 5.85503876209259e-05, 0.006812170147895813]",,
368,3509,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.001972649246454239, 0.0010059364140033722, 2.9198825359344482e-05, 0.0017737112939357758, 0.0020993128418922424, 1.6260892152786255e-05, 0.016166120767593384]",,
369,3519,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[4.4383108615875244e-05, 0.004672586917877197, 5.7194381952285767e-05, 0.00010062754154205322, 0.000864129513502121, 0.0002878159284591675, 2.818182110786438e-05]",,
370,3529,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.96875, 1.0, 1.0]",,"[3.0543655157089233e-05, 0.003033723682165146, 3.7766993045806885e-05, 0.0005651302635669708, 0.03829462081193924, 8.605420589447021e-07, 0.0006745271384716034]",,
371,3539,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.9375, 1.0, 1.0]",,"[5.420669913291931e-05, 0.0007149204611778259, 0.0022086165845394135, 0.0022260211408138275, 0.05420671030879021, 0.0013217516243457794, 0.016460683196783066]",,
372,3549,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0004419684410095215, 0.0013649798929691315, 3.173947334289551e-05, 0.0023905299603939056, 2.014264464378357e-05, 0.0006433948874473572, 0.005911324173212051]",,
373,3559,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00018515437841415405, 2.812221646308899e-05, 0.0029410235583782196, 2.4959444999694824e-07, 0.0018453672528266907, 0.0043715424835681915, 0.0007703378796577454]",,
374,3569,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0011558756232261658, 1.259148120880127e-06, 3.104284405708313e-05, 0.008125420659780502, 0.0004724077880382538, 0.0019416064023971558, 0.0011005811393260956]",,
375,3579,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[2.4966895580291748e-05, 0.019309192895889282, 0.00016757100820541382, 0.00276179239153862, 9.279698133468628e-06, 0.0029637180268764496, 0.0008276142179965973]",,
376,3589,,,,,"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00036647915840148926, 0.0007402263581752777, 0.022349447011947632, 0.002391628921031952, 0.024050775915384293, 6.503239274024963e-05, 2.905726432800293e-07]",,
377,3599,"[0.9902557730674744, 0.9926739931106567, 0.9777227640151978, 1.0, 0.9950494766235352, 0.9973787665367126, 0.8874680399894714]","[0.9975639581680298, 0.997474730014801, 0.9962025284767151, 1.0, 0.9974293112754822, 1.0, 0.9963054060935974]","[0.9986594915390015, 0.9923076629638672, 0.9926739931106567, 0.9901356101036072, 0.9963414669036865, 0.9975278377532959, 0.9731379747390747]","[1.0, 0.9975278377532959, 0.9936143159866333, 0.9975031018257141, 0.99370276927948, 0.998769998550415, 0.9974586963653564]","[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,"[1.0, 0.9982030987739563, 0.9996093511581421, 0.9975781440734863, 0.9979687333106995, 0.9992969036102295, 0.9874218702316284]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3.169018600601703e-05, 0.0065527320839464664, 0.0016007901867851615, 0.006981011480093002, 0.007268623914569616, 0.002888384507969022, 0.03628311678767204]","[3.09087336063385e-05, 0.003312215209007263, 3.762543201446533e-07, 0.003680780529975891, 0.0006139352917671204, 0.00014335662126541138, 0.009841874241828918]","[0.9965624809265137, 0.9950000047683716, 0.9900000095367432, 0.996874988079071, 0.9956250190734863, 0.9984375238418579, 0.964062511920929]","[0.014989310875535011, 0.01674867793917656, 0.05536265671253204, 0.016071248799562454, 0.013549293391406536, 0.007029080763459206, 0.08769076317548752]"
378,3600,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
379,3609,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00700850784778595, 0.006697341799736023, 2.8595328330993652e-05, 0.00020156428217887878, 0.00047497451305389404, 0.0001781843602657318, 1.125037670135498e-06]",,
380,3619,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[0.90625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.23420438170433044, 0.0003889128565788269, 0.0005428828299045563, 0.023425661027431488, 0.002135850489139557, 2.0917505025863647e-05, 3.341585397720337e-06]",,
381,3629,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[4.971027374267578e-05, 0.010588649660348892, 0.00015074759721755981, 3.00481915473938e-05, 0.012749340385198593, 6.832927465438843e-05, 0.00031394511461257935]",,
382,3639,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00022818520665168762, 8.332356810569763e-05, 2.8267502784729004e-05, 0.019147254526615143, 0.0017586089670658112, 2.358853816986084e-05, 0.00017960742115974426]",,
383,3649,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[2.647191286087036e-05, 0.031979601830244064, 0.0007599703967571259, 0.00021000578999519348, 0.001763720065355301, 0.00028865039348602295, 3.248825669288635e-05]",,
384,3659,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[8.401647210121155e-05, 0.004386402666568756, 0.0007338300347328186, 8.281320333480835e-06, 3.14079225063324e-05, 0.0008908770978450775, 0.02772509679198265]",,
385,3669,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 0.90625, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0011821538209915161, 0.08411739766597748, 5.766749382019043e-05, 2.5875866413116455e-05, 0.00014612451195716858, 3.3017247915267944e-05, 0.0002803727984428406]",,
386,3679,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.004197191447019577, 1.973286271095276e-05, 0.0006249360740184784, 0.02635040506720543, 0.0013027079403400421, 3.1072646379470825e-05, 9.741634130477905e-06]",,
387,3689,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[1.0021030902862549e-06, 2.7056783437728882e-05, 0.0006759762763977051, 0.011311113834381104, 8.1576406955719e-05, 0.0010249316692352295, 0.00014975294470787048]",,
388,3699,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[5.0961971282958984e-06, 0.01686663180589676, 0.000571470707654953, 2.8211623430252075e-05, 0.006578449159860611, 0.00020867958664894104, 0.0003273487091064453]",,
389,3709,,,,,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0016577020287513733, 0.0004005841910839081, 0.0013279132544994354, 2.2079795598983765e-05, 0.00047979503870010376, 0.020128536969423294, 1.341104507446289e-06]",,
